SONG NAME,YEAR,ALBUM/MOVIE NAME,DURATION,TYPE,LINK,LANGUAGE,GENRE,SINGERS,RATING
"Jai Jai Ramkrishna Hari, Tujh Me Ram Mujh Me Ram",1970,Pardesi,3:33,Devotional,https://gaana.com/song/jai-jai-ramkrishna-hari-5,HINDI,Devotional,OTHERS,8.7
Musafir Hoon Yaaron,1972,Parichay,3:10,love,https://gaana.com/song/musafir-hoon-yaro-1,HINDI,Love,OTHERS,7.8
Chali Radhe Rani Ankhiyo Me Paani,2005,Parineeta,3:14,Devotional,https://gaana.com/song/chali-radhe-rani-ankhiyo-me-paani-from-parineeta,HINDI,Devotional,OTHERS,8.6
Ja Tose Nahin Bolun Kanhaiya,1987,Parivar,3:21,Devotional,https://gaana.com/song/ja-tose-nahin-bolun-kanhaiya,HINDI,Devotional,LATA MANGESHKAR,8.5
Party Tera Bhai Dega,2016,Party Tera Bhai Dega,3:56,Party Song,https://gaana.com/song/party-tera-bhai-dega?autoplay=true,PUNJABI,Party,YO YO HONEY SINGH,7.5
Hi Sundara Mi Gururanga,1992,Patali Re Patali,0:07:54,Comedy,https://www.jiosaavn.com/song/hi-sundara-mi-gururanga/LxAbYRpmRmE,MARATHI,Other,SHREYA GHOSHAL,8.9
Patt Lainge,2016,Patt Lainge,3:59,pop,https://gaana.com/song/patt-lainge?autoplay=true,PUNJABI,Pop,NEHA KAKKAR,6
Teri Duniya Se Hoke Majboor Chala,1970,Pavitra Papi,5:21,sad love,https://gaana.com/song/teri-duniya-se-hoke-majboor-chala-1,HINDI,Love,KISHORE KUMAR,7.5
Chhod Do Aanchal Zamana,1957,paying guest,4:11,romantic love,https://gaana.com/song/chhod-do-aanchal-zamana-kya-kahega-1,HINDI,Love,ASHA BHOSALE,9
Hay Hay Yeh Nigahen,1957,Paying guest,4:37,retro song,https://gaana.com/song/hay-hay-yeh-nigahen-2,HINDI,Other,KISHOR KUMAR,8
Gala kardi,2019,PBX1,3:42,Rock,https://gaana.com/song/gala-kardi,PUNJABI,Pop,DILJIT DOSANJH,7
LEAN ON,2015,PEACE IS THE MISSSION,2:56,EDM,https://gaana.com/song/lean-on-70,ENGLISH,Party,EMINEM,6.8
POWERFULL,2015,PEACE IS THE MISSSION,3:26,EDM,https://gaana.com/song/powerfull-5,ENGLISH,Party,EMINEM,7.8
Pehli Najar,2017,Pehli Najar,3:43,Sad,https://www.jiosaavn.com/album/pehli-nazar-the-first-look/qU2k22OE6Ho_,PUNJABI,life,OTHERS,7
LOVIN' YOU,1975,PERFECT ANGEL,3:58,ROMANCE,https://gaana.com/song/loving-you-81,ENGLISH,Love,AVRIL LAVIGNE,7.8
Afghan Jalebi,2014,Phantom,3:44,entertaining,https://gaana.com/song/afghan-jalebi-film-version,HINDI,Other,OTHERS,8.6
Phite Andharache Jaale,1999,Phite Andharache Jaale,0:06:02,Happy,"https://www.jiosaavn.com/song/phite-andharache-jaale/PAY,A0dmT3Y",MARATHI,life,SONU NIGAM,7
Aali Thumkat Naar Lachkat,1972,Pinjara,0:03:41,love,https://www.jiosaavn.com/song/aali-thumkat-naar/BAUvQitnB0E,MARATHI,Love,OTHERS,8.9
Chhabidar Chhabi Mi,1972,Pinjara,0:03:40,Self,https://www.jiosaavn.com/song/chabidar-chabi/SAkfYEQEUn4,MARATHI,life,OTHERS,7.9
Disala Ga Bai Disala,1972,Pinjara,0:04:56,Happy,https://www.jiosaavn.com/song/disla-ga-bai-disla/ADIAeyR7cUs,MARATHI,life,SHAAN,8.7
Kashi Nashibana Thatta,1972,Pinjara,0:04:00,Sad,https://www.jiosaavn.com/song/kashi-nashibana-thatta-aaj-mandali/KgY6ZDYBcEo,MARATHI,life,ANIL MOHILE,6.5
Mala Lagali Kunachi Uchaki,1972,Pinjara,0:03:55,Party,"https://www.jiosaavn.com/song/mala-lagali-kunachi-uchaki/QTkMexx,QgE",MARATHI,Party,ANIL MOHILE,8.9
Bombai Shahar Ki,1972,Piya Ka Ghar,7:11,"entertaining,retro",https://gaana.com/song/bombai-shahar-ki,HINDI,Other,KISHOR KUMAR,8.6
Awaz Vadav DJ,2015,Poshter Girl,0:04:26,Party,https://www.jiosaavn.com/song/awaz-vadav-dj/GQ1TdTl2ZUo,MARATHI,Party,ANIL MOHILE,8.8
"HEY LOOK MA,I MADE IT",2018,PRAY FOR THE WICKED,3:06,INDIE,https://gaana.com/song/hey-look-ma-i-made-it,ENGLISH,Other,OTHERS,6.5
Publicity,2018,Publicity,2:40,Rap,https://gaana.com/song/publicity-35?autoplay=true,PUNJABI,Pop,HARDY SANDHU,6.5
Ekach Hya Janmi Janu,1986,Pudhach Paul,0:04:33,Happy,https://www.jiosaavn.com/song/ekach-hya-janmi-janu/OywIYiNke3A,MARATHI,life,SHANKAR MAHADEVAN,9.4
Satnam wahe guru,1995,Punjabi Aarti,11:30,Devotional,https://gaana.com/song/satnam-wahe-guru-2,PUNJABI,Devotional,SUKHWINDER SINGH,8
Akh Lad Gayi,2005,Punjabi Chartbusters,4:49,Love,https://gaana.com/song/akh-lad-gayi,PUNJABI,Love,OTHERS,8
Haye Sohneyo,2005,Punjabi Chartbusters,4:20,Love,https://gaana.com/song/haye-sohneyo,PUNJABI,Love,GURU RANDHAWA,8
Mehroo pasti,2007,Punjabi Folk Song,2:29,Pop,https://gaana.com/song/mehroo-pasti,PUNJABI,Pop,ASHISH SARDANA,7
Mirza Saheban,2007,Punjabi Folk Song,2:51,Love,https://gaana.com/song/mirza-saheban-1,PUNJABI,Love,OTHERS,8
Punjabi Virsa,2004,Punjabi Virsa,7:01,Pop,https://gaana.com/album/punjabi-virsa-2004,PUNJABI,Pop,OTHERS,7
SORRY,2015,PURPOSE,3:20,DANCEHALL-POP,https://gaana.com/song/sorry-578,ENGLISH,Party,JUSTIN BIEBER,7.4
WHAT DO YOU MEAN,2015,PURPOSE,3:26,POP,https://gaana.com/song/what-do-you-mean-5,ENGLISH,Pop,JUSTIN BIEBER,8.4
Dhoondha Tujhe Lakhon Me,1971,Putalibai,3:26,"retro song,love",https://gaana.com/song/dhoonda-tujhe-lakhon-mein,HINDI,Love,KISHOR KUMAR,8.3
Pardesi,2016,Putta Paradesia,3:38,Emotional,https://gaana.com/song/pardesi-2,PUNJABI,Other,NAUMAN KHALID,7
Din Jawani Ke Char Yar,1966,Pyar Kiya Ja,5:02,retro song,https://gaana.com/song/din-jawani-ke-chaar,HINDI,Other,KISHOR KUMAR,7.6
Ae Mere Humsafar,1988,Qamayat Se Qamayat Tak,5:55,love,https://gaana.com/song/ey-mere-humsafar,HINDI,Love,UDIT NARAYAN,8.3
Akele Hain Toh Kya Gum Hain,1988,Qamayat Se Qamayat Tak,5:57,love,https://gaana.com/song/akele-hain-to-kya-gam-hai,HINDI,Love,UDIT NARAYAN,7.1
Papa Kehthe Hain Bada Naam Karega,1988,Qamayat Se Qamayat Tak,5:53,entertaining,https://gaana.com/song/papa-kehte-hain,HINDI,Other,UDIT NARAYAN,9.1
Gazab Ka Hai Din,1988,Qayamat Se Qayamat Tak,4:26,love,https://gaana.com/song/gazab-ka-hai-din,HINDI,Love,OTHERS,8.5
Quismat,2018,Qismat,4:24,Romantic,https://gaana.com/song/qismat-2?autoplay=true,PUNJABI,Pop,DILJIT DOSANJH,8
BED,2018,QUEEN,3:09,POP,https://gaana.com/song/bed-53,ENGLISH,Pop,ARIANA GRANDE,7.4
London Thumakda,2014,Queen,3:35,Wedding,https://gaana.com/song/london-thumakda?autoplay=true,PUNJABI,Other,NEHA KAKKAR,9
Main Tera Boyfriend,2014,Raabta,4:36,entertaining,https://gaana.com/song/main-tera-boyfriend,HINDI,Other,ARIJIT SINGH,8.4
Gum Hai Kisi Ke Pyar Mein,1972,Raampur Ka Lakshman,4:15,love,https://gaana.com/song/goom-hai-kisi-ke-pyar-mein-1,HINDI,Love,LATA MANGESHKAR,7.6
Raat Di Gedi,2018,Raat di Gedi,4:15,Sad,https://gaana.com/album/raat-di-gedi,PUNJABI,life,DILJIT DOSANJH,7
Dance Pe Chance,2012,Rab Ne Bana D Jodi,4:15,Rock,https://gaana.com/song/dance-pe-chance?autoplay=true,PUNJABI,Pop,OTHERS,8
Haule Haule,2012,Rab Ne Bana D Jodi,5:26,Happy Pop,https://gaana.com/song/haule-haule?autoplay=true,PUNJABI,Pop,SUKHWINDER SINGH,8.5
Tujhme Rab,2012,Rab Ne Bana D Jodi,1:43,"Silent , Sad",https://gaana.com/song/tujh-mein-rab-dikhta-hai-ii?autoplay=true,PUNJABI,life,NEHA KAKKAR,6
Pehli Nazar Mein,2008,Race,5:13,love,https://gaana.com/song/pehli-nazar-mein-7,HINDI,Love,ATIF ASLAM,7.5
Be Intehaan,2013,Race 2,4:51,love,https://gaana.com/song/be-intehaan,HINDI,Love,ARIJIT SINGH,8.6
Chhoti Si Yeh Duniya,1961,Rangoli,3:59,retro song,https://gaana.com/song/chhoti-si-yeh-duniya-2,HINDI,Other,KISHOR KUMAR,7.1
Hum Bechare Pyar Ke Mare,1961,Rangoli,3:53,entertaining,https://gaana.com/song/ham-bechare-pyar-ke-mare,HINDI,Other,KISHOR KUMAR,7
Billo Ji,2016,Rangrez,5:20,Fun,https://gaana.com/song/billo-ji?autoplay=true,PUNJABI,Other,ASHISH SARDANA,4
Reshamachya Reghanni,2003,Ranichya Pakhara,0:03:18,Self,https://www.jiosaavn.com/song/reshamachya-reghanni/KkUMVVloflI,MARATHI,life,NITIN MORAJKAR,7.2
Ranjha Ranjha Kardi,2019,Ranjha Ranjha Kardi,15.02,Silent,https://gaana.com/song/ranjha-ranjha-kardi?autoplay=true,PUNJABI,Other,OTHERS,7
TILL I COLLAPSE,2002,REAL STEEL,4:50,HIP HOP,https://gaana.com/song/till-i-collapse-1,ENGLISH,Pop,EMINEM,7.4
Jaan,2010,Realism Volume 1,4:11,Silent,https://gaana.com/artist/jatti-cheed,PUNJABI,Other,NEHA KAKKAR,6
LOVE THE WAY YOU LIE,2010,RECOVERY,4:23,HIP HOP,https://gaana.com/song/love-the-way-you-lie-2,ENGLISH,Pop,EMINEM,6.3
Devak Kalji Re,2017,Rede,0:04:26,Friendship,https://www.jiosaavn.com/song/devak-kalji-re/KVggdEB1DkY,MARATHI,life,NILESH MOHARIR,8.5
Shitti Wajali Gaadi Sutali,2014,Rege,0:05:11,Party,https://www.jiosaavn.com/song/shitti-wajali-gaadi-sutali/CDseVzdHTwM,MARATHI,Party,SONU NIGAM,7.2
Dil Ko Tumse,2001,Rehnna Hai Terre Dil Mein,5:32,love,https://gaana.com/song/dilko-tumse-pyar-hua,HINDI,Love,OTHERS,6.7
Zara Zara,2001,Rehnna Hai Terre Dil Mein,4:58,love,https://gaana.com/song/zara-zara-5,HINDI,Love,SUNIDHI CHAUHAN,7.7
bapu Zimidar,2014,Replay,3:45,Romantic,https://gaana.com/song/bapu-zimidar?autoplay=true,PUNJABI,Love,OTHERS,8.5
END GAME,2017,REPUTATION,4:04,R&B,https://gaana.com/song/end-game-51,ENGLISH,Other,TAYLOR SWIFT,9.3
LOOK WHAT YOU MADE ME DO,2017,REPUTATION,3:31,DANCE-POP,https://gaana.com/song/look-what-you-made-me-do-6,ENGLISH,Pop,TAYLOR SWIFT,9.5
READY FOR IT?,2017,REPUTATION,3:28,ELECTROPOP,https://gaana.com/song/ready-for-it-11,ENGLISH,Pop,TAYLOR SWIFT,9.7
GOOD FOR YOU,2015,REVIVAL,3:41,POP,https://gaana.com/song/good-for-you-38,ENGLISH,Pop,SELENA GOMEZ,5.1
HANDS TO MYSELF,2016,REVIVAL,3:20,DANCE-POP,https://gaana.com/song/hands-to-myself-2,ENGLISH,Pop,SELENA GOMEZ,6.1
KILL EM WITH KINDNESS,2016,REVIVAL,3:37,DANCE,https://gaana.com/song/kill-em-with-kindness-4,ENGLISH,Party,SELENA GOMEZ,6.8
PERFECT DUET,2017,REVIVAL,4:19,ATLANTIC,https://gaana.com/song/perfect-duet-2,ENGLISH,Other,ED SHEERAN,9.2
RIVER,2017,REVIVAL,3:41,ROMANCE,https://gaana.com/song/river-607,ENGLISH,Love,EMINEM,9.1
SAME OLD LOVE,2015,REVIVAL,3:49,ELECTROPOP,https://gaana.com/song/same-old-love-6,ENGLISH,Pop,SELENA GOMEZ,5.9
Rock The Party,2013,Rocky Handsome,3:32,rock,https://gaana.com/song/rock-tha-party-3,HINDI,Pop,OTHERS,7.5
Dil Luttiya,2006,Romeo,4:22,Pop,https://gaana.com/song/dil-luttiya-1,PUNJABI,Pop,OTHERS,9
Soorma,2006,Romeo,6:53,Basic,https://gaana.com/song/soorma-15,PUNJABI,Other,OTHERS,9
Chittiyan Kalaiyaan,2017,roy,4:06,entertaining,https://gaana.com/song/chittiyaan-kalaiyaan,HINDI,Other,OTHERS,8.6
Ghan rani,1994,Rutu Hirwa,0:05:41,Self,https://www.jiosaavn.com/song/ghan-rani/O1gqA0JZD0o,MARATHI,life,NILESH MOHARIR,8.1
Majhiya Mana,1994,Rutu Hirwa,0:05:31,Romantic,https://www.jiosaavn.com/song/majhya-mana/KSAsSC1VR34,MARATHI,Love,NILESH MOHARIR,6
Phoolale re kshan maaze,1994,Rutu Hirwa,0:06:02,Happy,https://www.jiosaavn.com/album/phulale-re-kshan-majhe/z0jvllDVXTk_,MARATHI,life,AJAY-ATUL,8.9
Saanj ye gokuli,1994,Rutu Hirwa,0:04:56,Chill,https://www.jiosaavn.com/song/saanj-ye-gokuli/J1wkWhEEQ1I,MARATHI,Other,AJAY-ATUL,5
Chehra Hai Yaa,1985,Saagar,5:00,love,https://gaana.com/song/sagar-jaisi-aankhonwali,HINDI,Love,KISHOR KUMAR,8.9
Saagar Kinare Dil Ye Pukare,1985,Saagar,4:19,retro song,https://gaana.com/song/saagar-kinare-1,HINDI,Other,LATA MANGESHKAR,7.5
Jeeye To Jeeye Kaise,1992,Saajan,6:38,sad love,https://gaana.com/song/jeeye-to-jeeye-kaise,HINDI,Love,KUMAR SANU,9.2
Jab Se Tere Naina,2007,Saawariya,4:45,romantic,https://gaana.com/song/jab-se-tere-naina-2,HINDI,Love,SONU NIGAM,8.6
Dil Sachaa Aur Chehra Jhutha,1970,Sachaa Jhoota,4:02,retro song,https://gaana.com/song/dil-sachaa-aur-chehra-jhutha-2,HINDI,Other,KISHOR KUMAR,8.3
“Tumhe Apna Banane Ki Kasam”,1991,Sadak,5:43,romantic,https://gaana.com/song/tumhein-ap-bane-ki-kasam-khai-hai,HINDI,Love,ALKA YAGNIK,8.3
Zindagi Ka Safar,1970,Safar,4:00,life,https://gaana.com/song/zindagi-ka-safar-3,HINDI,life,KISHOR KUMAR,8.9
Na Sangatach Aaj,1989,Saglikade Bombabomb,0:05:43,Happy,https://www.jiosaavn.com/song/swargahuni-sunder-gharte/GTAPACx7Rnk,MARATHI,life,SHAAN,7
Thamb Ga Sajani,1989,Saglikade Bombabomb,0:05:43,Romantic,https://www.jiosaavn.com/song/thamb-ga-sajani/GCkSWjNvdnA,MARATHI,Love,OTHERS,8.1
Aatach Baya Ka Baavarla,2016,Sairat,0:05:11,Happy,https://www.jiosaavn.com/song/aatach-baya-ka-baavarla/PBE6ciwGAVA,MARATHI,life,OTHERS,8.9
Sairat Zaala Ji,2016,Sairat,0:05:05,Romantic,https://www.jiosaavn.com/song/sairat-zaala-ji/EiIeXiV5dAc,MARATHI,Love,OTHERS,7.7
Yad Lagla,2016,Sairat,0:05:11,Romantic,https://www.jiosaavn.com/song/yad-lagla/PipeSDtzXXc,MARATHI,Love,OTHERS,8
Zingaat,2016,Sairat,0:03:55,Party,"https://www.jiosaavn.com/song/zingaat/LyI,VRhGZ2Y",MARATHI,Party,OTHERS,8
Dil Jab Se Toot Gaya,1994,Salaami,5:35,"love,sad love",https://gaana.com/song/dil-jab-se-toot-gaya-duet-jb,HINDI,Love,S. P. BALASUBRAHMANYAM,9.1
Mile Tum Se Bichhad Ke Hum,1994,Salaami,7:01,love,https://gaana.com/song/mile-tum-se-bichhad-ke-hum-1,HINDI,Love,OTHERS,7.4
Darshan Pyasi Aai Dasi,1952,Sangdil,4:15,Devotional,https://gaana.com/song/darshan-pyasi-aai-daasi,HINDI,Devotional,OTHERS,8
Aadinaath Umabij,2009,Sant Saptak,0:03:55,Chill,https://www.jiosaavn.com/search/Aadinaath%20Umabij,MARATHI,Other,ANIL MOHILE,7.2
