NAME OF SONG,RELEASE YEAR,SINGERS,MOVIE NAME,SONG DURATION,RATING,TYPE OF SONG,LINK TO AUDIO,LANGUAGE,genre
Tola Tola,2015,Amitraj,Tu Hi Re,0:03:28,8.1,Romantic,https://www.jiosaavn.com/song/tola-tola/NBwTBwx8f1E,MARATHI,
Bhetali Tu Punha,2017,Vivek Deulkar,Bhetali Tu Punha,0:05:11,9,Romantic,"https://www.jiosaavn.com/album/bhetali-tu-punha/gSVncXfM,9A_",MARATHI,
Kadhi Tu,2018, Avinash-Vishwajeet,Mumbai Pune Mumbai,0:06:46,8.8,Romantic,https://www.jiosaavn.com/song/kadhi-tu/Pg4RSSt9RFQ,MARATHI,
Tu Bhet Na,2017,Troy-Arif,Lagna Mubarak,0:04:48,7.2,Romantic,https://www.jiosaavn.com/song/tu-bhet-na/CiAZfAFDX2Y,MARATHI,
Shitti Wajali Gaadi Sutali,2014,Avadhoot Gupte,Rege,0:05:11,7.2,Party,https://www.jiosaavn.com/song/shitti-wajali-gaadi-sutali/CDseVzdHTwM,MARATHI,
Saaj Sonyacha,2018,Ajay-Atul,Fandry,0:03:28,7,Wedding,https://www.jiosaavn.com/song/saaj-sonyacha/KF0jAD1UQEY,MARATHI,
Kuni Yenar Ga,2018,Nilesh Moharir,Mumbai Pune Mumbai 3,0:04:00,8.1,Romantic,https://www.jiosaavn.com/song/kuni-yenar-ga/Px0dWRpxBAY,MARATHI,
Bhijun Gela Vara,2010,Nilesh Moharir,Irada Pakka,0:04:26,6.8,Romantic,https://www.jiosaavn.com/song/bhijun-gela-vara/BTwyRSxKW3w,MARATHI,
Teri Meri Yaariyan,2014,Amritraj,Classmates,0:04:17,7.9,Friendship,https://www.jiosaavn.com/song/teri-meri-yaariyan/Ij8dVRdbAGw,MARATHI,
Hi Poli Saajuk,2013, Ketaki Mategaonkar,Timepass,0:04:48,9.4,Party,https://www.jiosaavn.com/song/hi-poli-saajuk/Jj1TeUV3TWk,MARATHI,
