NAME OF SONG,RELEASE YEAR,SINGERS,MOVIE NAME,SONG DURATION,RATING,TYPE OF SONG,LINK TO AUDIO,LANGUAGE,genre
Gajanana Shri Ganraya Song,1996,Lata Mangeshkar,Ganapati Aarti ,0:06:32,7.2,Religious,https://www.jiosaavn.com/song/gajanana-shri-ganraya/CT85UCwFA3s,MARATHI,
Phite Andharache Jaale,1999,Shridhar phadke,Phite Andharache Jaale,0:06:02,7,Happy,"https://www.jiosaavn.com/song/phite-andharache-jaale/PAY,A0dmT3Y",MARATHI,
De Na Aekach Muka,1991,Raamlaxman,Palva Palvi ,0:04:00,8.1,Party,https://www.jiosaavn.com/song/de-na-aekach-muka/QFoHYQRdVnc,MARATHI,
Shodhu Mee Kuthe,1999,Lata Mangeshkar,Nisarg Raja ,0:05:11,6.8,Chill,https://www.jiosaavn.com/song/shodhu-mee-kuthe/OCoEYSNgZFc,MARATHI,
Manmohana Tu Raja Swapnatala,1991,Anil Mohile,Hamal De Dhamal ,0:05:54,7.9,Romantic,https://www.jiosaavn.com/song/manmohana-tu-raja-swapnatala/RhkCADcCYFg,MARATHI,
Hi Dosti Tutayachi Naay ,1992,Anil Mohile,Dhadakebaaj ,0:03:55,9.4,Friendship,https://www.jiosaavn.com/song/hi-dosti-tutayachi-naay-happy/Oy4fCQwDcng,MARATHI,
Batata Vada,1994,Anand Shinde,Tondala Sutala Paani ,0:05:54,9.5,Comedy,https://www.jiosaavn.com/song/batata-vada/XS8yHEFaWV4,MARATHI,
Sundar Te Dhyan,1991,Lata Mangeshkar,Gajalele Abhang ,0:06:46,8.3,Chill,https://www.jiosaavn.com/album/sundar-te-dhyan/mhj6b6cy0A4_,MARATHI,
Paree Dhuan,1997,Lesle Lewis,Talaash ,0:06:02,9.2,Sad,https://www.jiosaavn.com/song/paree-dhuan/HxBYSTsDYnA,MARATHI,
Bhatukalichya Khela ,1991,Yashwant Deo,Shukratara Mandwara ,0:05:54,8.5,Sad,https://www.jiosaavn.com/song/bhatukalichya-khela-madhali-raja-anik-rani/RAo5WA5cdXE,MARATHI,
Aga Housa Bhar Divsa,1991,Raamlaxman,Palva Palvi ,0:04:48,8.5,Slow,https://www.jiosaavn.com/song/aga-housa-bhar-divsa/KAkaZTNBb2w,MARATHI,
Avagha Rang Ek Jhala,1991,Kishori Amonkar,Gajalele Abhang ,0:05:54,7.3,Chill,https://www.jiosaavn.com/song/avagha-rang-ek-jhala/MwkEVxcAXHk,MARATHI,
Dhakkumakum Dhakkumakum,1991,Anil Mohile,Hamal De Dhamal ,0:06:46,8,Comedy,https://www.jiosaavn.com/song/dhakkumakum-dhakkumakum/IykdQhJiA3c,MARATHI,
Shapat Tula Aahe,1991,Yashwant Deo,Shukratara Mandwara ,0:05:54,7.7,Sad,https://www.jiosaavn.com/song/shapat-tula-aahe/F1AhWEBYbXI,MARATHI,
Jivalaga Sajana,1994,Anil Mohile,Jivalaga ,0:04:17,8,Romantic,https://www.jiosaavn.com/song/ye-jivlag-sajani/OgERXh8HR1w,MARATHI,
Aala Gokulcha Kanha ,1997,Ashok Waingankar,Aala Re Govinda ,0:05:11,8.9,Religious,https://www.jiosaavn.com/song/aala-gokulcha-kanha-sambhal-tuzi/JBwBARYdBVE,MARATHI,
Chafa Bolena,1996,Vasant Prabhu,Lata ,0:03:55,7.9,Love,https://www.jiosaavn.com/song/chafa-bolena/NAYAYDlhQ3A,MARATHI,
Majhiya Mana,1994,Shridhar phadke,Rutu Hirwa,0:05:31,6,Romantic,https://www.jiosaavn.com/song/majhya-mana/KSAsSC1VR34,MARATHI,
Avagha Rang Ek Jhala,1999,Kishori Amonkar,Golden Hour ,0:05:54,8.7,Slow,https://www.jiosaavn.com/search/Avagha%20Rang%20Ek%20Jhala,MARATHI,
Mee Raat Thakali,1999,Lata Mangeshkar,Vol7,0:04:48,6.5,Self,https://www.jiosaavn.com/song/mee-raat-thakali/A1ERYx9GVVw,MARATHI,
Hi Sundara Mi Gururanga,1992,Anil Mohile,Patali Re Patali ,0:07:54,8.9,Comedy,https://www.jiosaavn.com/song/hi-sundara-mi-gururanga/LxAbYRpmRmE,MARATHI,
Prabhat,2005,Ajay-Atul,Aga Bai Arrecha,0:05:54,5,Happy,https://www.jiosaavn.com/song/prabhat/BiQSfBpbfno,MARATHI,
Laal Divyachya Gadila,2009,Ramchandra Janrao,Yogdaan Bhimaanch ,0:06:46,8.1,Chill,https://www.jiosaavn.com/song/laal-divyachya-gadila/KQleSRNUBEE,MARATHI,
Rani Majhya Malyamandi,2007,Avadhoot Gupte,Tula Shikwin Changlach Dhada ,0:05:54,9,Romantic,https://www.jiosaavn.com/song/rani-majhya-malyamandi/BRsTXgB4cwc,MARATHI,
Ha Chandra Tuzhyasathi,2003,Ajay-Atul,Bedhund,0:05:31,8.8,Romantic,https://www.jiosaavn.com/song/ha-chandra-tuzhyasathi/GFs8WxZyflU,MARATHI,
Hirwa Nisarga,2005,Sonu Nigam,Navra Maza Navsacha ,0:05:11,7.2,Happy,https://www.jiosaavn.com/song/hirwa-nisarga/NRoRQxx5RXA,MARATHI,
